Impulse,Response,Step,Value,Lower_CI,Upper_CI
goal8,goal3,5,5.357610429257098e-06,-1.1574117885263974e-05,2.228933874377817e-05
goal8,goal3,6,-7.108180502052796e-07,-3.036485884624369e-06,1.6148497842138095e-06
goal8,goal3,7,8.857524332302851e-08,-2.2251823922139903e-07,3.996687258674561e-07
goal8,goal3,8,-1.091807217700925e-08,-5.175504825970343e-08,2.9918903905684933e-08
goal8,goal3,9,1.3156210745814935e-09,-3.97238130682891e-09,6.603623455991897e-09
goal8,goal3,10,-1.570762781738219e-10,-8.351170655472419e-10,5.209645091995981e-10
goal10,goal3,0,0.0,0.0,0.0
goal10,goal3,1,-0.0268158150217391,-0.03421386789058094,-0.019417762152897262
goal10,goal3,2,0.0035844194159787932,0.0022151073920723694,0.004953731439885217
goal10,goal3,3,-0.0005393125946923472,-0.000754193932383993,-0.00032443125700070145
goal10,goal3,4,5.826528810569082e-05,2.7537011548164013e-05,8.899356466321763e-05
goal10,goal3,5,-5.9799892988927866e-06,-1.0168322325053815e-05,-1.7916562727317576e-06
goal10,goal3,6,5.366557532551002e-07,-1.7813625089231473e-08,1.091125131599432e-06
goal10,goal3,7,-4.487995507436181e-08,-1.170452436074923e-07,2.7285333458768694e-08
goal10,goal3,8,3.268528318224008e-09,-6.017924414429205e-09,1.255498105087722e-08
goal10,goal3,9,-1.8625861227839419e-10,-1.3733928702271443e-09,1.0008756456703562e-09
goal10,goal3,10,1.8710625349396165e-12,-1.4930939059811033e-10,1.5305151566798955e-10
goal13,goal3,0,0.0,0.0,0.0
goal13,goal3,1,0.011202192705175754,-0.0174734519268891,0.03987783733724061
goal13,goal3,2,-0.0015760207663684778,-0.007397542023680747,0.004245500490943792
goal13,goal3,3,0.00035807387899922376,-0.000639403348584035,0.0013555511065824824
goal13,goal3,4,-5.436095911409678e-05,-0.00020884600977085359,0.00010012409154266003
goal13,goal3,5,8.091125557653595e-06,-1.4597970169926679e-05,3.078022128523387e-05
goal13,goal3,6,-1.1151976547485943e-06,-4.335971196697189e-06,2.1055758872000007e-06
goal13,goal3,7,1.505106794612625e-07,-2.9654459745247535e-07,5.975659563750003e-07
goal13,goal3,8,-1.9821009026006822e-08,-8.092207154387156e-08,4.128005349185793e-08
goal13,goal3,9,2.5777791044088506e-09,-5.683952351585823e-09,1.0839510560403523e-08
goal13,goal3,10,-3.314820090357188e-10,-1.440149223901382e-09,7.771852058299444e-10
goal16,goal3,0,0.0,0.0,0.0
goal16,goal3,1,0.029877896873925145,0.003053561305684443,0.05670223244216585
goal16,goal3,2,-0.0011247225029026818,-0.004447717258891024,0.002198272253085661
goal16,goal3,3,0.00025490436959546694,-0.00027165243263244907,0.000781461171823383
goal16,goal3,4,-2.3911241852208157e-05,-9.660472236582885e-05,4.8782238661412534e-05
goal16,goal3,5,3.2822838214836892e-06,-6.747823921408056e-06,1.3312391564375434e-05
goal16,goal3,6,-3.701875207299097e-07,-1.707035375237146e-06,9.666603337773264e-07
goal16,goal3,7,4.465097525953776e-08,-1.312117339680941e-07,2.2051368448716963e-07
goal16,goal3,8,-5.101797706317249e-09,-2.790194198237784e-08,1.769834656974334e-08
goal16,goal3,9,5.877939085043676e-10,-2.3424117744346123e-09,3.5179995914433475e-09
goal16,goal3,10,-6.664216160915283e-11,-4.4042007640603523e-10,3.0713575318772953e-10
goal1,goal4,0,0.13192306854094876,0.13192306854094876,0.13192306854094876
goal1,goal4,1,0.03307166904900305,-0.0005412144460260893,0.06668455254403219
goal1,goal4,2,0.0021946948290866423,-0.0013138601466896422,0.005703249804862927
goal1,goal4,3,-0.00038407022677092043,-0.0008152585674085377,4.711811386669685e-05
goal1,goal4,4,6.105210442103571e-05,7.702385011286167e-06,0.00011440182383078525
goal1,goal4,5,-6.626527625183392e-06,-1.3477783070757363e-05,2.2472782039057902e-07
goal1,goal4,6,7.543278675228716e-07,-1.5879274329207496e-07,1.6674484783378181e-06
goal1,goal4,7,-8.497025941137108e-08,-2.1049619561958951e-07,4.055567679684734e-08
goal1,goal4,8,1.0343094967094698e-08,-7.109921446921496e-09,2.7796111381110893e-08
goal1,goal4,9,-1.3062042974895069e-09,-3.740574317990351e-09,1.1281657230113376e-09
goal1,goal4,10,1.6995533904669918e-10,-1.6935991921293726e-10,5.092705973063356e-10
goal3,goal4,0,0.05659744851871222,0.05659744851871222,0.05659744851871222
goal3,goal4,1,0.09338108541587435,0.009816492584209108,0.1769456782475396
goal3,goal4,2,-0.006933443174734057,-0.020622819241733453,0.00675593289226534
goal3,goal4,3,0.0011853607598310946,-0.0008300722901594042,0.0032007938098215934
goal3,goal4,4,-0.00014071057548680616,-0.0004330683050455063,0.000151647154071894
goal3,goal4,5,1.9368333836052706e-05,-2.2170245079598796e-05,6.0906912751704204e-05
goal3,goal4,6,-2.4755190306613884e-06,-8.357328571406619e-06,3.4062905100838427e-06
goal3,goal4,7,3.234462007696554e-07,-5.082515596219708e-07,1.1551439611612817e-06
goal3,goal4,8,-4.1636121252381466e-08,-1.5909965357274028e-07,7.582741106797736e-08
goal3,goal4,9,5.383867439378053e-09,-1.1156032456597982e-08,2.192376733535409e-08
goal3,goal4,10,-6.948375099801813e-10,-3.014863300522e-09,1.6251882805616377e-09
goal4,goal4,0,2.6880518994879905,2.6880518994879905,2.6880518994879905
goal4,goal4,1,-0.11528179228675191,-0.14617843869420152,-0.0843851458793023
goal4,goal4,2,0.007489464413993429,0.004007119917682527,0.010971808910304331
goal4,goal4,3,-0.00033808665083920976,-0.0007794544552801032,0.00010328115360168366
