Group,Impulse,Response,Step,Value
HIC,goal7,goal7,1,-0.09283945581559179
HIC,goal7,goal7,2,0.01793440998575154
HIC,goal7,goal7,3,-0.0026092035040904105
HIC,goal7,goal7,4,0.0005027166253621088
HIC,goal7,goal7,5,-5.6873209563507446e-05
HIC,goal7,goal7,6,1.5035260296482965e-05
HIC,goal7,goal7,7,-1.3512839197873219e-06
HIC,goal7,goal7,8,5.843696142254473e-07
HIC,goal7,goal7,9,-4.1033873334863065e-08
HIC,goal7,goal7,10,2.895330023940551e-08
HIC,goal8,goal7,0,0.0
HIC,goal8,goal7,1,-0.09082808861983281
HIC,goal8,goal7,2,0.01115989150288916
HIC,goal8,goal7,3,-0.0035865663804167678
HIC,goal8,goal7,4,0.00028525779075785874
HIC,goal8,goal7,5,-0.00014936970245778814
HIC,goal8,goal7,6,3.5773123396340846e-06
HIC,goal8,goal7,7,-5.778306188663412e-06
HIC,goal8,goal7,8,-2.481784726293472e-07
HIC,goal8,goal7,9,-2.513313413315965e-07
HIC,goal8,goal7,10,-2.7457621824110722e-08
HIC,goal10,goal7,0,0.0
HIC,goal10,goal7,1,0.03002146231603129
HIC,goal10,goal7,2,-0.006839916858739697
HIC,goal10,goal7,3,0.0016069149374001606
HIC,goal10,goal7,4,-0.00023495571081092034
HIC,goal10,goal7,5,6.622796861130586e-05
HIC,goal10,goal7,6,-1.0827725096901497e-05
HIC,goal10,goal7,7,3.6119590702548784e-06
HIC,goal10,goal7,8,-6.489652894593998e-07
HIC,goal10,goal7,9,2.2176563513214625e-07
HIC,goal10,goal7,10,-4.108799367531161e-08
HIC,goal13,goal7,0,0.0
HIC,goal13,goal7,1,0.0023722145094032168
HIC,goal13,goal7,2,0.007467704936653164
HIC,goal13,goal7,3,8.580446946973412e-05
HIC,goal13,goal7,4,0.0003031652042102
HIC,goal13,goal7,5,4.96681648591963e-05
HIC,goal13,goal7,6,8.44505102448844e-06
HIC,goal13,goal7,7,4.011112972936834e-06
HIC,goal13,goal7,8,3.166213010610323e-07
HIC,goal13,goal7,9,2.468607818312268e-07
HIC,goal13,goal7,10,1.6391365324709126e-08
HIC,goal16,goal7,0,0.0
HIC,goal16,goal7,1,0.006441704241864387
HIC,goal16,goal7,2,0.008146608348668856
HIC,goal16,goal7,3,-0.0009664878522343716
